artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Otesla,Gardens,0.747,0.339,2,-7.881,1,0.0871,0.146,0.741,0.0835,0.409,90.041,audio_features,0S82jbfNa2mAjVoMpsEAWT,spotify:track:0S82jbfNa2mAjVoMpsEAWT,https://api.spotify.com/v1/tracks/0S82jbfNa2mAjVoMpsEAWT,https://api.spotify.com/v1/audio-analysis/0S82jbfNa2mAjVoMpsEAWT,128464,4
Tesk,Hideout,0.595,0.224,9,-9.076,0,0.0331,0.0273,0.837,0.0844,0.439,168.145,audio_features,2B2DoTt6xuP1NrR7pKZBR8,spotify:track:2B2DoTt6xuP1NrR7pKZBR8,https://api.spotify.com/v1/tracks/2B2DoTt6xuP1NrR7pKZBR8,https://api.spotify.com/v1/audio-analysis/2B2DoTt6xuP1NrR7pKZBR8,131443,4
Nymano,Fireworks,0.559,0.31,5,-10.53,0,0.373,0.526,0.937,0.147,0.395,188.177,audio_features,1GPRmRcadnmINbJlutkseu,spotify:track:1GPRmRcadnmINbJlutkseu,https://api.spotify.com/v1/tracks/1GPRmRcadnmINbJlutkseu,https://api.spotify.com/v1/audio-analysis/1GPRmRcadnmINbJlutkseu,138000,4
C Y G N,Remember,0.437,0.173,3,-13.479,0,0.0797,0.783,0.893,0.104,0.0656,63.031,audio_features,72bSRwoEHrQQkRB22lnOE0,spotify:track:72bSRwoEHrQQkRB22lnOE0,https://api.spotify.com/v1/tracks/72bSRwoEHrQQkRB22lnOE0,https://api.spotify.com/v1/audio-analysis/72bSRwoEHrQQkRB22lnOE0,152500,4
mommy,throwback port,0.794,0.129,8,-15.354,1,0.134,0.467,0.169,0.0726,0.302,120.058,audio_features,3rclsytutZxiC3moc3QIPZ,spotify:track:3rclsytutZxiC3moc3QIPZ,https://api.spotify.com/v1/tracks/3rclsytutZxiC3moc3QIPZ,https://api.spotify.com/v1/audio-analysis/3rclsytutZxiC3moc3QIPZ,101333,4
floridomi,Lakeside,0.282,0.457,11,-12.738,0,0.279,0.749,0.0686,0.0924,0.262,161.331,audio_features,3WNZsBN3GeBUA9xt4DQ9kD,spotify:track:3WNZsBN3GeBUA9xt4DQ9kD,https://api.spotify.com/v1/tracks/3WNZsBN3GeBUA9xt4DQ9kD,https://api.spotify.com/v1/audio-analysis/3WNZsBN3GeBUA9xt4DQ9kD,133500,4
C Y G N,San Junipero,0.6,0.331,1,-12.369,0,0.0714,0.885,0.889,0.102,0.115,79.639,audio_features,6czFMKUwWxrSMMZfzFLxnO,spotify:track:6czFMKUwWxrSMMZfzFLxnO,https://api.spotify.com/v1/tracks/6czFMKUwWxrSMMZfzFLxnO,https://api.spotify.com/v1/audio-analysis/6czFMKUwWxrSMMZfzFLxnO,217000,4
Ian Ewing,LuvnYou,0.331,0.263,6,-13.987,1,0.0964,0.583,0.0348,0.183,0.499,175.839,audio_features,3hHlNvlnK6MUo4wuX0JLKN,spotify:track:3hHlNvlnK6MUo4wuX0JLKN,https://api.spotify.com/v1/tracks/3hHlNvlnK6MUo4wuX0JLKN,https://api.spotify.com/v1/audio-analysis/3hHlNvlnK6MUo4wuX0JLKN,194729,4
Smeyeul.,Distant Travels,0.657,0.243,5,-12.126,1,0.129,0.438,0.886,0.117,0.436,80.006,audio_features,7xbg6rwijiTcND5Rv0k64P,spotify:track:7xbg6rwijiTcND5Rv0k64P,https://api.spotify.com/v1/tracks/7xbg6rwijiTcND5Rv0k64P,https://api.spotify.com/v1/audio-analysis/7xbg6rwijiTcND5Rv0k64P,156500,4
C Y G N,Heartbreak,0.649,0.412,5,-11.943,0,0.0943,0.202,0.445,0.11,0.203,137.896,audio_features,03HSzJtSjjL4FcxAR2ZcbZ,spotify:track:03HSzJtSjjL4FcxAR2ZcbZ,https://api.spotify.com/v1/tracks/03HSzJtSjjL4FcxAR2ZcbZ,https://api.spotify.com/v1/audio-analysis/03HSzJtSjjL4FcxAR2ZcbZ,212042,4
Flitz&Suppe,About The Distance,0.688,0.177,8,-14.061,0,0.0507,0.454,0.626,0.376,0.316,79.994,audio_features,60ONwBU0GgM3kJhPEOhTx0,spotify:track:60ONwBU0GgM3kJhPEOhTx0,https://api.spotify.com/v1/tracks/60ONwBU0GgM3kJhPEOhTx0,https://api.spotify.com/v1/audio-analysis/60ONwBU0GgM3kJhPEOhTx0,192000,4
Idealism,Both of Us,0.66,0.528,11,-8.139,1,0.109,0.187,0.943,0.174,0.532,84.938,audio_features,4hnhSZTKf77tZjOBjzL5BM,spotify:track:4hnhSZTKf77tZjOBjzL5BM,https://api.spotify.com/v1/tracks/4hnhSZTKf77tZjOBjzL5BM,https://api.spotify.com/v1/audio-analysis/4hnhSZTKf77tZjOBjzL5BM,113000,4
C Y G N,Digital Sex,0.485,0.27,10,-10.537,0,0.0342,0.809,0.033,0.112,0.308,79.964,audio_features,4yOiMpCUGmhZIDGkqiMoAt,spotify:track:4yOiMpCUGmhZIDGkqiMoAt,https://api.spotify.com/v1/tracks/4yOiMpCUGmhZIDGkqiMoAt,https://api.spotify.com/v1/audio-analysis/4yOiMpCUGmhZIDGkqiMoAt,168000,1
